id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	AC-like|AC-like	AC-like|MES-like	AC-like|NPC-like	AC-like|OPC-like	AC-like|macrophage	AC-like|microglial_cell	MES-like|AC-like	MES-like|MES-like	MES-like|NPC-like	MES-like|OPC-like	MES-like|macrophage	MES-like|microglial_cell	NPC-like|AC-like	NPC-like|MES-like	NPC-like|NPC-like	NPC-like|OPC-like	NPC-like|macrophage	NPC-like|microglial_cell	OPC-like|AC-like	OPC-like|MES-like	OPC-like|NPC-like	OPC-like|OPC-like	OPC-like|macrophage	OPC-like|microglial_cell	macrophage|AC-like	macrophage|MES-like	macrophage|NPC-like	macrophage|OPC-like	macrophage|macrophage	macrophage|microglial_cell	microglial_cell|AC-like	microglial_cell|MES-like	microglial_cell|NPC-like	microglial_cell|OPC-like	microglial_cell|macrophage	microglial_cell|microglial_cell
CPI-CS05AB368CE	CD94:NKG2C_HLA-E	complex:CD94:NKG2C	simple:P13747		ENSG00000204592	False	True	False	curated	False	0.378	0.367	0.08	0.232	0.984	1.122	0.379	0.368	0.081	0.233	0.985	1.123	0.378	0.367	0.08	0.232	0.984	1.122	0.382	0.371	0.084	0.236	0.988	1.126	0.378	0.368	0.08	0.232	0.984	1.122	0.378	0.367	0.08	0.232	0.984	1.122
CPI-CS0023FA839	CD94:NKG2E_HLA-E	complex:CD94:NKG2E	simple:P13747		ENSG00000204592	False	True	False	curated	False	0.378	0.367	0.08	0.232	0.983	1.122	0.378	0.367	0.08	0.232	0.983	1.121	0.378	0.367	0.08	0.232	0.984	1.122	0.382	0.371	0.084	0.236	0.988	1.126	0.377	0.366	0.079	0.231	0.983	1.121	0.377	0.366	0.079	0.231	0.983	1.121
CPI-CS0F5F74D37	CNTF_1R_CNTF	complex:CNTF_1R	simple:P26441		ENSG00000242689	True	True	False	curated	False	0.079	0.079	0.079	0.08	0.079	0.079	0.037	0.037	0.036	0.037	0.037	0.036	0.088	0.088	0.088	0.089	0.088	0.088	0.118	0.118	0.118	0.119	0.118	0.118	0.004	0.004	0.004	0.004	0.004	0.004	0.001	0.001	0.001	0.002	0.001	0.001
CPI-SS0D795AC00	EGFR_CNTF	simple:P00533	simple:P26441	ENSG00000146648	ENSG00000242689	True	True	False	InnateDB-All	False	0.97	0.97	0.97	0.971	0.97	0.97	0.489	0.489	0.489	0.489	0.489	0.489	0.193	0.193	0.193	0.194	0.193	0.193	0.686	0.687	0.686	0.687	0.686	0.686	0.11	0.11	0.11	0.11	0.11	0.11	0.021	0.021	0.02	0.021	0.021	0.02
CPI-CS04EC47889	CNTF_1R_CLCF1	complex:CNTF_1R	simple:Q9UBD9		ENSG00000175505	True	True	False	curated	False	0.092	0.122	0.08	0.083	0.082	0.08	0.049	0.079	0.037	0.04	0.039	0.037	0.101	0.131	0.089	0.092	0.09	0.089	0.131	0.161	0.119	0.122	0.12	0.119	0.016	0.047	0.004	0.007	0.006	0.004	0.014	0.044	0.002	0.005	0.003	0.002
CPI-SS03969CE88	ESR2_CLCF1	simple:Q92731	simple:Q9UBD9	ENSG00000140009	ENSG00000175505	True	True	False	IMEx,IntAct,MatrixDB	False	0.015	0.046	0.003	0.006	0.005	0.003	0.017	0.047	0.005	0.008	0.006	0.005	0.02	0.05	0.008	0.011	0.009	0.008	0.016	0.046	0.004	0.006	0.005	0.003	0.013	0.043	0.001	0.004	0.003	0.001	0.013	0.043	0.001	0.004	0.002	0.001
CPI-SS0B02DE712	EGFR_NRG1	simple:P00533	simple:Q02297	ENSG00000146648	ENSG00000157168	True	True	True	I2D,IMEx,InnateDB-All,IntAct	False	0.972	0.974	0.975	0.979	0.976	0.97	0.491	0.493	0.494	0.497	0.495	0.489	0.195	0.197	0.198	0.202	0.2	0.194	0.689	0.69	0.691	0.695	0.693	0.687	0.112	0.114	0.115	0.118	0.116	0.11	0.023	0.024	0.025	0.029	0.027	0.021
CPI-SS09375CA29	ADGRL1_NRG1	simple:O94910	simple:Q02297	ENSG00000072071	ENSG00000157168	True	True	True	InnateDB-All	False	0.068	0.07	0.071	0.075	0.072	0.066	0.042	0.043	0.044	0.048	0.046	0.04	0.073	0.074	0.075	0.079	0.077	0.071	0.08	0.082	0.083	0.086	0.084	0.078	0.011	0.013	0.014	0.017	0.015	0.009	0.007	0.009	0.01	0.013	0.011	0.005
CPI-SS00A953C3A	EGF_NRG1	simple:P01133	simple:Q02297	ENSG00000138798	ENSG00000157168	True	False	True	I2D	False	0.004	0.006	0.007	0.011	0.008	0.002	0.006	0.007	0.008	0.012	0.01	0.004	0.002	0.004	0.005	0.009	0.007	0.001	0.003	0.005	0.006	0.009	0.007	0.001	0.002	0.004	0.005	0.009	0.007	0.001	0.002	0.004	0.005	0.009	0.007	0.001
CPI-SS0BF9FA3F2	ERBB3_NRG1	simple:P21860	simple:Q02297	ENSG00000065361	ENSG00000157168	True	True	True	curated	False	0.016	0.018	0.019	0.023	0.02	0.014	0.011	0.013	0.014	0.018	0.015	0.009	0.065	0.066	0.067	0.071	0.069	0.063	0.075	0.076	0.077	0.081	0.079	0.073	0.014	0.015	0.016	0.02	0.018	0.012	0.004	0.005	0.006	0.01	0.008	0.002
CPI-SS0F4D30D5A	EGFR_EGF	simple:P00533	simple:P01133	ENSG00000146648	ENSG00000138798	True	True	False	curated	False	0.972	0.973	0.97	0.971	0.97	0.97	0.49	0.492	0.489	0.489	0.489	0.489	0.195	0.196	0.193	0.194	0.193	0.193	0.688	0.689	0.686	0.687	0.686	0.686	0.111	0.113	0.11	0.11	0.11	0.11	0.022	0.023	0.02	0.021	0.02	0.02
CPI-SS0E25CE362	EGFR_TGFA	simple:P00533	simple:P01135	ENSG00000146648	ENSG00000163235	True	True	False	curated	False	0.976	0.99	0.982	0.982	0.982	0.984	0.495	0.509	0.501	0.501	0.501	0.502	0.199	0.213	0.206	0.205	0.206	0.207	0.692	0.707	0.699	0.698	0.699	0.7	0.116	0.13	0.122	0.122	0.122	0.123	0.026	0.041	0.033	0.032	0.033	0.034
CPI-SS0055264F3	EGFR_TGFB1	simple:P00533	simple:P01137	ENSG00000146648	ENSG00000105329	True	True	False	IMEx,InnateDB-All,MINT	False	1.013	1.016	0.981	0.989	1.214	1.267	0.532	0.534	0.5	0.508	0.733	0.785	0.236	0.239	0.204	0.212	0.437	0.49	0.73	0.732	0.698	0.706	0.931	0.983	0.153	0.155	0.121	0.129	0.354	0.406	0.064	0.066	0.032	0.04	0.265	0.317
CPI-SS00EDDD458	EGFR_MIF	simple:P00533	simple:P14174	ENSG00000146648	ENSG00000240972	True	True	False	IMEx,InnateDB-All	False	1.588	1.887	1.667	1.567	1.468	1.338	1.107	1.405	1.185	1.086	0.987	0.857	0.811	1.11	0.89	0.791	0.691	0.561	1.304	1.603	1.383	1.284	1.184	1.054	0.728	1.026	0.806	0.707	0.608	0.478	0.638	0.937	0.717	0.618	0.518	0.388
CPI-SS0ABC5C1B8	CD74_MIF	simple:P04233	simple:P14174	ENSG00000019582	ENSG00000240972	True	True	False	I2D,InnateDB-All	False	0.85	1.148	0.928	0.829	0.73	0.599	0.886	1.184	0.964	0.865	0.766	0.636	0.842	1.14	0.92	0.821	0.722	0.592	1.068	1.367	1.147	1.047	0.948	0.818	2.845	3.143	2.923	2.824	2.725	2.595	2.84	3.139	2.919	2.819	2.72	2.59
CPI-SS0481D83A4	EGFR_AREG	simple:P00533	simple:P15514	ENSG00000146648	ENSG00000109321	True	True	False	curated	False	0.977	0.972	0.974	1.003	1.134	1.001	0.495	0.491	0.492	0.521	0.652	0.52	0.2	0.195	0.197	0.226	0.357	0.224	0.693	0.689	0.69	0.719	0.85	0.717	0.117	0.112	0.113	0.143	0.273	0.141	0.027	0.023	0.024	0.053	0.184	0.051
CPI-SS0D4C221B8	ICAM1_AREG	simple:P05362	simple:P15514	ENSG00000090339	ENSG00000109321	True	True	False	InnateDB-All	False	0.029	0.024	0.026	0.055	0.185	0.053	0.073	0.069	0.07	0.099	0.23	0.097	0.012	0.008	0.009	0.038	0.169	0.036	0.028	0.024	0.025	0.054	0.185	0.052	0.18	0.175	0.177	0.206	0.337	0.204	0.186	0.182	0.183	0.212	0.343	0.211
CPI-SS08CA619FE	EGFR_GRN	simple:P00533	simple:P28799	ENSG00000146648	ENSG00000030582	True	True	False	InnateDB-All	False	1.202	1.193	1.108	1.167	1.84	1.776	0.72	0.711	0.627	0.685	1.359	1.294	0.425	0.416	0.331	0.39	1.063	0.999	0.918	0.909	0.825	0.883	1.556	1.492	0.341	0.332	0.248	0.307	0.98	0.915	0.252	0.243	0.159	0.217	0.89	0.826
CPI-SS0DA033F03	TNFRSF1A_GRN	simple:P19438	simple:P28799	ENSG00000067182	ENSG00000030582	True	True	False	IMEx,InnateDB-All,MINT	False	0.511	0.502	0.417	0.476	1.149	1.085	0.536	0.528	0.443	0.502	1.175	1.111	0.291	0.282	0.198	0.256	0.93	0.865	0.381	0.372	0.288	0.347	1.02	0.956	0.543	0.534	0.45	0.508	1.182	1.117	0.561	0.552	0.468	0.527	1.2	1.136
CPI-SS054D158CC	NTRK1_GRN	simple:P04629	simple:P28799	ENSG00000198400	ENSG00000030582	True	True	False	InnateDB-All	False	0.232	0.223	0.139	0.197	0.871	0.806	0.234	0.225	0.14	0.199	0.872	0.808	0.232	0.223	0.139	0.198	0.871	0.807	0.232	0.223	0.139	0.198	0.871	0.806	0.232	0.223	0.138	0.197	0.87	0.806	0.232	0.223	0.138	0.197	0.87	0.806
CPI-SS0C4E86714	TNFRSF1B_GRN	simple:P20333	simple:P28799	ENSG00000028137	ENSG00000030582	True	True	False	IMEx,InnateDB-All,MINT	False	0.238	0.229	0.145	0.204	0.877	0.813	0.238	0.229	0.145	0.204	0.877	0.812	0.236	0.227	0.143	0.202	0.875	0.81	0.245	0.236	0.152	0.211	0.884	0.82	0.51	0.501	0.417	0.475	1.149	1.084	0.502	0.493	0.409	0.467	1.141	1.076
CPI-SS0A19E9C34	EGFR_BTC	simple:P00533	simple:P35070	ENSG00000146648	ENSG00000174808	True	True	False	curated	False	0.971	0.971	0.976	0.973	0.97	0.97	0.49	0.49	0.494	0.491	0.489	0.489	0.195	0.194	0.199	0.196	0.193	0.193	0.688	0.688	0.692	0.689	0.686	0.686	0.111	0.111	0.116	0.112	0.11	0.11	0.022	0.022	0.026	0.023	0.02	0.02
CPI-SS06BC4D123	ERBB3_BTC	simple:P21860	simple:P35070	ENSG00000065361	ENSG00000174808	True	True	False	curated	False	0.015	0.015	0.02	0.017	0.014	0.014	0.01	0.01	0.015	0.012	0.009	0.009	0.064	0.064	0.068	0.065	0.062	0.062	0.074	0.074	0.078	0.075	0.072	0.072	0.013	0.013	0.017	0.014	0.011	0.011	0.003	0.003	0.007	0.004	0.002	0.001
CPI-SS088A0A760	EGFR_COPA	simple:P00533	simple:P53621	ENSG00000146648	ENSG00000122218	True	True	False	InnateDB-All	False	1.15	1.153	1.142	1.199	1.125	1.107	0.669	0.672	0.661	0.718	0.644	0.626	0.374	0.376	0.365	0.422	0.348	0.33	0.867	0.87	0.859	0.915	0.841	0.823	0.29	0.293	0.282	0.339	0.265	0.247	0.201	0.204	0.193	0.249	0.176	0.157
CPI-SS0302E8E8F	CD74_COPA	simple:P04233	simple:P53621	ENSG00000019582	ENSG00000122218	True	True	False	IMEx,IntAct	False	0.412	0.415	0.404	0.461	0.387	0.369	0.448	0.451	0.44	0.497	0.423	0.405	0.404	0.407	0.396	0.453	0.379	0.361	0.63	0.633	0.622	0.679	0.605	0.587	2.407	2.41	2.399	2.456	2.382	2.364	2.402	2.405	2.394	2.451	2.377	2.359
CPI-SS0E6E8A727	NTRK1_COPA	simple:P04629	simple:P53621	ENSG00000198400	ENSG00000122218	True	True	False	InnateDB-All	False	0.181	0.184	0.173	0.23	0.156	0.138	0.182	0.185	0.174	0.231	0.157	0.139	0.181	0.184	0.173	0.23	0.156	0.138	0.181	0.184	0.173	0.23	0.156	0.138	0.181	0.183	0.172	0.229	0.155	0.137	0.18	0.183	0.172	0.229	0.155	0.137
CPI-SS0C10824C7	EGFR_HBEGF	simple:P00533	simple:Q99075	ENSG00000146648	ENSG00000113070	True	True	True	curated	False	1.012	1.03	1.006	1.035	1.28	1.185	0.531	0.549	0.525	0.554	0.799	0.704	0.235	0.253	0.229	0.258	0.503	0.408	0.728	0.746	0.722	0.751	0.996	0.901	0.152	0.17	0.146	0.175	0.42	0.325	0.062	0.08	0.056	0.085	0.33	0.235
CPI-SS0632A027A	CD44_HBEGF	simple:P16070	simple:Q99075	ENSG00000026508	ENSG00000113070	True	True	True	I2D,InnateDB-All	False	0.318	0.336	0.312	0.341	0.587	0.491	0.524	0.542	0.518	0.547	0.793	0.697	0.064	0.082	0.058	0.087	0.332	0.237	0.192	0.21	0.186	0.215	0.46	0.365	0.376	0.395	0.371	0.399	0.645	0.55	0.115	0.133	0.109	0.138	0.383	0.288
CPI-SS00CFAFE79	ERBB2_HBEGF	simple:P04626	simple:Q99075	ENSG00000141736	ENSG00000113070	True	True	True	curated	False	0.083	0.101	0.077	0.106	0.351	0.256	0.07	0.088	0.064	0.093	0.338	0.243	0.053	0.071	0.047	0.076	0.321	0.226	0.064	0.083	0.059	0.087	0.333	0.238	0.045	0.063	0.039	0.068	0.313	0.218	0.044	0.062	0.038	0.067	0.313	0.217
CPI-SS07AD626C8	VDR_HBEGF	simple:P11473	simple:Q99075	ENSG00000111424	ENSG00000113070	True	True	True	InnateDB	False	0.043	0.061	0.038	0.066	0.312	0.216	0.044	0.062	0.038	0.067	0.312	0.217	0.043	0.061	0.037	0.066	0.311	0.216	0.045	0.064	0.04	0.068	0.314	0.219	0.061	0.079	0.055	0.084	0.329	0.234	0.049	0.067	0.043	0.072	0.317	0.222
CPI-SS03098AC28	ERBB4_HBEGF	simple:Q15303	simple:Q99075	ENSG00000178568	ENSG00000113070	True	True	True	curated	False	0.08	0.098	0.074	0.103	0.348	0.253	0.051	0.069	0.045	0.074	0.319	0.224	0.105	0.123	0.099	0.128	0.373	0.278	0.073	0.091	0.067	0.096	0.341	0.246	0.044	0.062	0.038	0.067	0.312	0.217	0.043	0.061	0.037	0.066	0.311	0.216
CPI-SS03C51D352	TNFRSF13B_TNFSF13B	simple:O14836	simple:Q9Y275	ENSG00000240505	ENSG00000102524	True	True	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.04	0.02	0.055	0.454	0.445	0.034	0.04	0.02	0.055	0.454	0.445
CPI-SS03133B4F2	TFRC_TNFSF13B	simple:P02786	simple:Q9Y275	ENSG00000072274	ENSG00000102524	True	True	False	IMEx,IntAct	False	0.131	0.138	0.118	0.152	0.552	0.543	0.13	0.136	0.116	0.151	0.55	0.541	0.098	0.105	0.085	0.119	0.519	0.51	0.189	0.195	0.176	0.21	0.61	0.6	0.21	0.216	0.197	0.231	0.631	0.621	0.159	0.165	0.145	0.18	0.579	0.57
CPI-SS0F00D756A	CD40_TNFSF13B	simple:P25942	simple:Q9Y275	ENSG00000101017	ENSG00000102524	True	True	False	I2D,InnateDB	False	0.036	0.042	0.022	0.057	0.456	0.447	0.035	0.042	0.022	0.056	0.456	0.447	0.037	0.043	0.023	0.058	0.457	0.448	0.039	0.045	0.025	0.06	0.459	0.45	0.122	0.128	0.108	0.143	0.542	0.533	0.129	0.135	0.115	0.15	0.549	0.54
CPI-SS09648FAA9	TNFRSF13C_TNFSF13B	simple:Q96RJ3	simple:Q9Y275	ENSG00000159958	ENSG00000102524	True	True	False	curated	False	0.035	0.042	0.022	0.056	0.456	0.447	0.034	0.041	0.021	0.055	0.455	0.445	0.038	0.044	0.025	0.059	0.459	0.449	0.039	0.045	0.025	0.06	0.459	0.45	0.036	0.043	0.023	0.057	0.457	0.448	0.054	0.061	0.041	0.075	0.475	0.465
CPI-SS09808DEAE	CD74_APP	simple:P04233	simple:P05067	ENSG00000019582	ENSG00000142192	False	True	False	curated	False	0.927	0.857	0.796	0.825	0.386	0.311	0.963	0.893	0.833	0.861	0.422	0.347	0.919	0.849	0.789	0.817	0.378	0.303	1.145	1.075	1.015	1.044	0.605	0.53	2.922	2.852	2.792	2.82	2.381	2.306	2.917	2.847	2.787	2.816	2.377	2.302
CPI-SS0A0718AC5	TNFRSF21_APP	simple:O75509	simple:P05067	ENSG00000146072	ENSG00000142192	False	True	False	curated	False	0.838	0.768	0.707	0.736	0.297	0.222	0.812	0.742	0.682	0.71	0.272	0.197	0.83	0.76	0.699	0.728	0.289	0.214	0.882	0.812	0.751	0.78	0.341	0.266	0.762	0.692	0.632	0.66	0.221	0.146	0.723	0.653	0.592	0.621	0.182	0.107
CPI-SS09C4FCB90	ICAM1_SPN	simple:P05362	simple:P16150	ENSG00000090339	ENSG00000197471	False	True	False	curated	False	0.024	0.023	0.026	0.029	0.083	0.086	0.069	0.068	0.071	0.074	0.128	0.131	0.008	0.007	0.009	0.012	0.067	0.07	0.024	0.023	0.025	0.029	0.083	0.086	0.175	0.174	0.177	0.18	0.235	0.237	0.182	0.181	0.184	0.187	0.241	0.244
CPI-SS0E9A581F8	ICAM1_ITGAL	simple:P05362	simple:P20701	ENSG00000090339	ENSG00000005844	False	True	True	curated	False	0.023	0.022	0.023	0.024	0.063	0.069	0.067	0.067	0.067	0.069	0.108	0.114	0.006	0.006	0.006	0.008	0.047	0.053	0.022	0.022	0.022	0.024	0.063	0.069	0.174	0.174	0.174	0.175	0.214	0.22	0.18	0.18	0.18	0.182	0.221	0.227
CPI-SC00035437A	ICAM1_integrin_aLb2_complex	simple:P05362	complex:integrin_aLb2_complex	ENSG00000090339		False	True	False	curated	True	0.023	0.022	0.023	0.024	0.063	0.069	0.067	0.067	0.067	0.069	0.108	0.114	0.006	0.006	0.006	0.008	0.047	0.053	0.022	0.022	0.022	0.024	0.063	0.069	0.174	0.174	0.174	0.175	0.214	0.22	0.18	0.18	0.18	0.182	0.221	0.227
CPI-SC0943ECD6E	ICAM2_integrin_aLb2_complex	simple:P13598	complex:integrin_aLb2_complex	ENSG00000108622		False	False	False	curated	True	0.002	0.002	0.002	0.003	0.042	0.049	0.003	0.002	0.003	0.004	0.043	0.049	0.005	0.005	0.005	0.007	0.046	0.052	0.002	0.002	0.003	0.004	0.043	0.049	0.047	0.047	0.047	0.048	0.087	0.093	0.047	0.047	0.048	0.049	0.088	0.094
CPI-SC09DC9200A	ICAM3_integrin_aLb2_complex	simple:P32942	complex:integrin_aLb2_complex	ENSG00000076662		False	False	False	curated	True	0.034	0.034	0.034	0.036	0.075	0.081	0.044	0.044	0.044	0.045	0.084	0.09	0.01	0.01	0.01	0.011	0.05	0.057	0.015	0.015	0.015	0.017	0.056	0.062	0.048	0.048	0.048	0.049	0.088	0.094	0.046	0.046	0.046	0.048	0.087	0.093
CPI-SC0A3A31D04	ICAM4_integrin_aLb2_complex	simple:Q14773	complex:integrin_aLb2_complex	ENSG00000105371		True	False	False	curated	True	0.002	0.001	0.002	0.003	0.042	0.048	0.003	0.002	0.003	0.004	0.043	0.049	0.001	0.001	0.001	0.003	0.042	0.048	0.002	0.002	0.002	0.004	0.043	0.049	0.011	0.011	0.011	0.013	0.051	0.058	0.012	0.011	0.012	0.013	0.052	0.058
CPI-SC0DEE2AF32	F11R_integrin_aLb2_complex	simple:Q9Y624	complex:integrin_aLb2_complex	ENSG00000158769		False	True	False	curated	True	0.023	0.023	0.023	0.025	0.064	0.07	0.019	0.019	0.019	0.021	0.06	0.066	0.011	0.011	0.011	0.012	0.051	0.057	0.028	0.028	0.028	0.03	0.068	0.075	0.06	0.06	0.06	0.061	0.1	0.106	0.037	0.037	0.037	0.038	0.077	0.084
CPI-SS004A073E1	NTRK1_NTF3	simple:P04629	simple:P20783	ENSG00000198400	ENSG00000185652	True	True	False	curated	False	0.0	0.0	0.0	0.001	0.001	0.0	0.002	0.0	0.0	0.002	0.002	0.0	0.001	0.0	0.0	0.001	0.001	0.0	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0ADA587B4	NGFR_NTF3	simple:P08138	simple:P20783	ENSG00000064300	ENSG00000185652	True	True	False	curated	False	0.023	0.0	0.0	0.023	0.023	0.0	0.027	0.0	0.0	0.027	0.027	0.0	0.031	0.0	0.0	0.031	0.031	0.0	0.035	0.0	0.0	0.035	0.035	0.0	0.003	0.0	0.0	0.003	0.003	0.0	0.001	0.0	0.0	0.001	0.001	0.0
CPI-SS0B1AB068C	NTRK1_GPI	simple:P04629	simple:P06744	ENSG00000198400	ENSG00000105220	True	True	False	InnateDB-All	False	0.297	0.333	0.185	0.186	0.186	0.111	0.298	0.334	0.187	0.188	0.187	0.112	0.297	0.333	0.185	0.186	0.186	0.111	0.297	0.333	0.185	0.186	0.186	0.111	0.296	0.333	0.185	0.186	0.185	0.111	0.296	0.333	0.185	0.186	0.185	0.111
CPI-SS0391D4602	NTRK1_NAMPT	simple:P04629	simple:P43490	ENSG00000198400	ENSG00000105835	True	True	False	InnateDB-All	False	0.283	0.606	0.084	0.238	0.536	0.353	0.284	0.608	0.085	0.239	0.537	0.354	0.283	0.607	0.084	0.238	0.536	0.353	0.283	0.607	0.084	0.238	0.536	0.353	0.282	0.606	0.084	0.237	0.535	0.353	0.282	0.606	0.083	0.237	0.535	0.352
CPI-SS00A6D366F	ADORA2A_NAMPT	simple:P29274	simple:P43490	ENSG00000128271	ENSG00000105835	True	True	False	I2D,IMEx,InnateDB-All,MINT	False	0.282	0.606	0.084	0.237	0.535	0.353	0.282	0.606	0.084	0.237	0.535	0.353	0.282	0.606	0.084	0.237	0.535	0.353	0.282	0.606	0.084	0.237	0.535	0.353	0.282	0.606	0.084	0.237	0.535	0.353	0.282	0.606	0.084	0.237	0.535	0.353
CPI-SS05D1A6BEF	NTRK1_AIMP1	simple:P04629	simple:Q12904	ENSG00000198400	ENSG00000164022	True	True	False	InnateDB-All	False	0.294	0.297	0.206	0.257	0.17	0.154	0.296	0.298	0.208	0.258	0.172	0.156	0.294	0.297	0.207	0.257	0.17	0.154	0.294	0.297	0.207	0.257	0.17	0.154	0.294	0.297	0.206	0.256	0.17	0.154	0.294	0.296	0.206	0.256	0.17	0.154
CPI-SS00FC42B03	CD44_SIGLEC15	simple:P16070	simple:Q6ZMC9	ENSG00000026508	ENSG00000197046	False	True	False	curated	False	0.277	0.278	0.276	0.277	0.279	0.277	0.483	0.484	0.482	0.483	0.485	0.483	0.022	0.023	0.022	0.022	0.024	0.023	0.15	0.151	0.15	0.15	0.152	0.15	0.335	0.336	0.335	0.335	0.337	0.335	0.073	0.074	0.073	0.073	0.075	0.074
CPI-SS074CF011C	ERBB4_NRG4	simple:Q15303	simple:Q8WWG1	ENSG00000178568	ENSG00000169752	True	True	False	curated	False	0.043	0.04	0.041	0.041	0.038	0.038	0.014	0.012	0.012	0.013	0.009	0.009	0.068	0.066	0.066	0.067	0.063	0.063	0.036	0.034	0.034	0.035	0.031	0.031	0.007	0.004	0.005	0.005	0.002	0.002	0.006	0.003	0.004	0.004	0.001	0.001
CPI-SS073A20D23	ABCA1_APOA1	simple:O95477	simple:P02647	ENSG00000165029	ENSG00000118137	True	False	False	curated	False	0.158	0.156	0.157	0.156	0.153	0.153	0.265	0.263	0.263	0.262	0.26	0.259	0.058	0.056	0.057	0.055	0.053	0.052	0.133	0.131	0.132	0.131	0.128	0.127	0.223	0.221	0.222	0.221	0.218	0.218	0.151	0.149	0.149	0.148	0.146	0.145
CPI-CS06A0713BD	Cholesterol_byCEL_RORA	complex:Cholesterol_byCEL	simple:P35398		ENSG00000069667	True	False	True	curated	False	0.102	0.102	0.042	0.039	0.011	0.003	0.102	0.102	0.042	0.039	0.011	0.003	0.103	0.102	0.042	0.039	0.012	0.004	0.102	0.102	0.042	0.039	0.011	0.003	0.101	0.101	0.041	0.038	0.011	0.003	0.101	0.101	0.041	0.038	0.011	0.003
CPI-CS0D81115C8	Cholesterol_byDHCR24_RORA	complex:Cholesterol_byDHCR24	simple:P35398		ENSG00000069667	True	False	True	curated	False	0.141	0.141	0.08	0.078	0.05	0.042	0.119	0.119	0.059	0.056	0.029	0.021	0.14	0.14	0.08	0.077	0.05	0.042	0.14	0.14	0.08	0.077	0.05	0.042	0.108	0.108	0.047	0.045	0.017	0.009	0.106	0.106	0.046	0.043	0.015	0.007
CPI-CS06C6527F4	Cholesterol_byDHCR7_RORA	complex:Cholesterol_byDHCR7	simple:P35398		ENSG00000069667	True	False	True	curated	False	0.216	0.216	0.155	0.153	0.125	0.117	0.173	0.173	0.113	0.11	0.083	0.075	0.194	0.194	0.134	0.131	0.104	0.096	0.169	0.168	0.108	0.106	0.078	0.07	0.12	0.12	0.06	0.057	0.03	0.022	0.118	0.118	0.058	0.055	0.028	0.02
CPI-CS0406B0B69	Cholesterol_byLIPA_RORA	complex:Cholesterol_byLIPA	simple:P35398		ENSG00000069667	True	False	True	curated	False	0.177	0.177	0.116	0.114	0.086	0.078	0.144	0.144	0.083	0.081	0.053	0.045	0.156	0.156	0.095	0.093	0.065	0.057	0.19	0.19	0.13	0.127	0.1	0.092	0.584	0.584	0.524	0.521	0.494	0.486	0.656	0.656	0.595	0.593	0.565	0.557
CPI-CS0CDFC0C7D	Cholesterol_byCEL_RORC	complex:Cholesterol_byCEL	simple:P51449		ENSG00000143365	True	False	True	curated	False	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
CPI-CS03D61E885	Cholesterol_byDHCR24_RORC	complex:Cholesterol_byDHCR24	simple:P51449		ENSG00000143365	True	False	True	curated	False	0.04	0.04	0.04	0.04	0.04	0.04	0.018	0.018	0.019	0.018	0.018	0.018	0.039	0.039	0.04	0.039	0.039	0.039	0.039	0.039	0.04	0.039	0.039	0.039	0.007	0.007	0.007	0.007	0.007	0.007	0.005	0.005	0.005	0.005	0.005	0.005
CPI-CS0BEF10547	Cholesterol_byDHCR7_RORC	complex:Cholesterol_byDHCR7	simple:P51449		ENSG00000143365	True	False	True	curated	False	0.115	0.115	0.115	0.115	0.115	0.115	0.072	0.072	0.073	0.073	0.072	0.072	0.093	0.093	0.094	0.093	0.093	0.093	0.067	0.068	0.068	0.068	0.068	0.067	0.019	0.019	0.02	0.019	0.019	0.019	0.017	0.017	0.018	0.017	0.017	0.017
CPI-CS0F51152EA	Cholesterol_byLIPA_RORC	complex:Cholesterol_byLIPA	simple:P51449		ENSG00000143365	True	False	True	curated	False	0.076	0.076	0.076	0.076	0.076	0.076	0.043	0.043	0.043	0.043	0.043	0.043	0.055	0.055	0.055	0.055	0.055	0.055	0.089	0.089	0.09	0.089	0.089	0.089	0.483	0.483	0.484	0.483	0.483	0.483	0.554	0.555	0.555	0.555	0.555	0.554
CPI-CS0006C277B	DHEAsulfate_bySULT2A1_PPARG	complex:DHEAsulfate_bySULT2A1	simple:P37231		ENSG00000132170	True	False	True	curated	False	0.001	0.0	0.001	0.003	0.039	0.04	0.001	0.001	0.001	0.003	0.039	0.041	0.001	0.0	0.001	0.003	0.039	0.04	0.001	0.0	0.001	0.003	0.039	0.04	0.001	0.0	0.001	0.003	0.039	0.04	0.001	0.001	0.001	0.003	0.039	0.041
